"1369","clayton-st","Clayton St.","Clayton State University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1370","clemson","Clemson","Clemson University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1371","cleveland-st","Cleveland St.","Cleveland State University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1372","coast-guard","Coast Guard","U.S. Coast Guard Academy","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1373","coastal-caro","Coastal Caro.","Coastal Carolina University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1374","cobleskill-st","Suny-Cobleskill","SUNY, Cobleskill","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1375","coe","Coe","Coe College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1376","coker","Coker","Coker University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1377","col-of-charleston","Col. of Charleston","College of Charleston","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1378","colby","Colby","Colby College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1379","colby-sawyer","Colby-Sawyer","Colby-Sawyer College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1380","colgate","Colgate","Colgate University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1381","colo-christian","Colo. Christian","Colorado Christian University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1382","colorado","Colorado","University of Colorado","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1383","colorado-col","Colorado Col.","Colorado College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1384","colorado-mesa","Colorado Mesa","Colorado Mesa University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1385","colorado-mines","Colorado School of Mines","Colorado School of Mines","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1386","colorado-st","Colorado St.","Colorado State University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1387","colorado-st-pueblo","Colorado St.-Pueblo","Colorado State University-Pueblo","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1388","columbia","Columbia","Columbia University-Barnard College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1389","columbus-st","Columbus St.","Columbus State University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1390","concord","Concord","Concord University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1391","concordia-chicago","Concordia Chicago","Concordia University Chicago","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1392","concordia-irvine","Concordia University Irvine","Concordia University Irvine","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1393","concordia-mhead","Concordia-M'head","Concordia College-Moorhead","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1394","concordia-ny","Concordia (NY)","Concordia College-New York","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1395","concordia-or","Concordia University-Portland","Concordia University-Portland","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1396","concordia-st-paul","Concordia-St. Paul","Concordia University, St. Paul","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1397","concordia-tx","Concordia (TX)","Concordia University Texas","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1398","concordia-wi","Concordia (Wis.)","Concordia University Wisconsin","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1399","connecticut-col","Connecticut Col.","Connecticut College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1400","converse","Converse","Converse College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1401","coppin-st","Coppin St.","Coppin State University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1402","cornell","Cornell","Cornell University","2025-12-11 13:41:18","2025-12-11 13:41:18"
